Epoch 754/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3473]
Epoch 755/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3405]
Epoch 756/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3346]
Epoch 757/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3736]
Epoch 758/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4484]
Epoch 759/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3607]
Epoch 760/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3540]
Epoch 761/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3368]
Epoch 762/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3444]
Epoch 763/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3314]
Epoch 764/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3401]
Epoch 765/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4045]
Epoch 766/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4819]
Epoch 767/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4056]
Epoch 768/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4096]
Epoch 769/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3830]
Epoch 770/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3785]
Epoch 771/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3791]
Epoch 772/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3558]
Epoch 773/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3621]
Epoch 774/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.3387]
Epoch 775/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4006]
Epoch 776/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4719]
Epoch 777/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4795]
Epoch 778/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4709]
Epoch 779/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4834]
Epoch 780/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5516]
Epoch 781/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5143]
Epoch 782/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5137]
Epoch 783/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5149]
Epoch 784/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5518]
Epoch 785/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5339]
Epoch 786/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5336]
Epoch 787/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5188]
Epoch 788/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5203]
Epoch 789/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4767]
Epoch 790/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4630]
Epoch 791/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4684]
Epoch 792/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4781]
Epoch 793/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5173]
Epoch 794/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4373]
Epoch 795/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4207]
Epoch 796/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4512]
Epoch 797/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4550]
Epoch 798/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4605]
Epoch 799/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.4689]
Epoch 800/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5067]
2026-02-14 08:26:57 | INFO | 💾 Saved Checkpoint: Epoch 799 | Loss: 1.5067
Epoch 801/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5155]
Epoch 802/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5194]
Epoch 803/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5211]
Epoch 804/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5317]
Epoch 805/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5334]
Epoch 806/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5702]
Epoch 807/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5803]
Epoch 808/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5554]
Epoch 809/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5345]
Epoch 810/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5357]
Epoch 811/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5360]
Epoch 812/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5417]
Epoch 813/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5509]
Epoch 814/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5470]
Epoch 815/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5545]
Epoch 816/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5651]
Epoch 817/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5555]
Epoch 818/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5598]
Epoch 819/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5662]
Epoch 820/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5742]
Epoch 821/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5893]
Epoch 822/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5822]
Epoch 823/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5848]
Epoch 824/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6165]
Epoch 825/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5685]
Epoch 826/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5701]
Epoch 827/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5823]
Epoch 828/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5782]
Epoch 829/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5837]
Epoch 830/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6398]
Epoch 831/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6024]
Epoch 832/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5925]
Epoch 833/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5748]
Epoch 834/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5682]
Epoch 835/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5525]
Epoch 836/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5671]
Epoch 837/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5548]
Epoch 838/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5903]
